parameter_set,scenario,draw,frontier_size,jaccard_vs_baseline,split_holds,boundary_cost,wireline_max_cost,cpor_entry_cost,on_frontier_640,cost_640,on_frontier_4096,cost_4096,on_frontier_4550,cost_4550
primary,unconstrained,11238,18,0.8333333333333334,True,8.400413688756815,7.60560207700793,8.400413688756815,True,5.60560207700793,True,8.400413688756815,True,18.641039891348726
primary,unconstrained,11239,20,0.75,True,10.146860830525169,9.27388977633018,10.146860830525169,True,7.273889776330179,True,10.146860830525169,True,21.481684052526163
primary,unconstrained,11240,19,0.6190476190476191,True,7.584912579752605,7.373539837183071,7.584912579752605,False,8.251265898596175,True,7.584912579752605,True,18.622407533106966
primary,unconstrained,11241,23,0.6521739130434783,True,13.119462773669532,12.803649134973371,13.119462773669532,True,6.803649134973371,True,13.119462773669532,True,24.902219707167795
primary,unconstrained,11242,21,0.7142857142857143,True,10.25359905790102,9.660218457413215,10.25359905790102,True,7.660218457413215,True,10.25359905790102,True,21.33424839038155
primary,unconstrained,11243,18,0.7368421052631579,True,7.308936207116023,6.723418135276114,7.308936207116023,True,6.723418135276114,True,7.308936207116023,True,19.431730315816864
primary,unconstrained,11244,18,0.7368421052631579,True,7.831878748799896,6.293009506400505,7.831878748799896,True,6.293009506400505,True,7.831878748799896,True,19.54899739126249
primary,unconstrained,11245,19,0.7894736842105263,True,11.190379063947839,11.07713580998776,11.190379063947839,True,6.077135809987761,True,11.190379063947839,True,22.134073069258854
primary,unconstrained,11246,19,0.7894736842105263,True,8.794215319839603,7.917322996319051,8.794215319839603,True,5.917322996319051,True,8.794215319839603,True,19.15140652486152
primary,unconstrained,11247,21,0.7142857142857143,True,12.112925979195644,11.324606416611605,12.112925979195644,True,6.324606416611605,True,12.112925979195644,True,23.773819017441472
primary,unconstrained,11248,20,0.75,True,12.376483476686975,9.52784594759033,12.376483476686975,True,7.527845947590331,True,12.376483476686975,True,24.10362892624816
primary,unconstrained,11249,17,0.6,True,12.181416804245773,11.68732774441361,12.181416804245773,True,6.68732774441361,True,12.181416804245773,True,22.32540334875144
primary,unconstrained,11250,23,0.6521739130434783,True,13.857291217773902,12.156920502656849,13.857291217773902,True,6.156920502656851,True,13.857291217773902,True,24.86426509849392
primary,unconstrained,11251,17,0.7777777777777778,True,6.844208050565976,6.74735594581364,6.844208050565976,True,6.74735594581364,True,6.844208050565976,True,17.442425984570733
